ID	Character	Sprite 	Dialogue	Next Index	Transtion Type	Transition Description	Trigger
0	코즈키 칸나	Default	켄타! 너무 깊게 들어가지 마! 위험해!	1			게임 시작을 누르면 뛰는 애니메이션이 보여준 후 시작
1	코즈키 켄타	Smile	하나도 안 위험해! 빨리 쫓아오기나 하라고!	2	Before	켄타가 먼저 달려가고 이후 칸나와 유우지가 켄타를 쫓아간다. 켄타 뒤를 유우지와 칸나가 쫓다가 켄타가 잠시 멈춘다음 뒤를 돈다.	먼저 뛰던 켄타가 뒤를 돌면
2	코즈키 칸나	Perplexity	… 말을 참 안 듣는단 말이야..	3	Before	켄타는 다시 뒤를 돌아 숲 속으로 달려가고 칸나와 유우지는 중간에 멈춰 서있다.	켄타가 더 깊은 곳에 들어가고 유우지와 칸나가 멈추면
3	코즈키 칸나	Default	유우지. 네가 쫓아가 줄래? 난 너무 힘들어서 잠깐 여기서 쉬고 있을게.	4			
4	츠네모리 유우지1	Default	… 알겠어.	5		칸나를 두고 플레이어가 직접 플레이하여 켄타가 간 곳으로 간다.	
5	츠네모리 유우지1	Default	켄타!! 켄타!! 어디 있어?	6	Before	깊은 숲속으로 들어가며	유우지가 이동하면서
6	츠네모리 유우지1	Default	에효… 진짜 어디까지 간거야…	7	Before	갈림길 앞에 멈춘다.	유우지가 갈림길 앞에 멈추면
7	츠네모리 유우지1	Perplexity	?!	8	Before	이상한 괴물 소리가 들린다. 유우지가 놀라 느낌표 애니메이션을 한다.	괴물 소리가 들리고 느낌표 애니메이션 후 바로
8	츠네모리 유우지1	Perplexity	... 켄타! 장난치지 말고 나와!	9	Before	유우지가 주변을 두리번 거린다.	유우지가 주변을 두리번 거린 후
9	츠네모리 유우지1	Perplexity	… 여기서 소리가 난 것 같은데	10	Before	시스템이 가리키는 방향으로 이동한다.	
10	츠네모리 유우지1	Perplexity	뭐야 여기는…. 신사인가?	11	Before	유우지가 신사 계단을 오르다 입구 앞에 선다.	신사 입구 앞에서
11	츠네모리 유우지1	Default	집 근처에 이런 곳이 있었는지도 몰랐네.. 	12			
12	츠네모리 유우지1	Default	.. 분명 여기서 소리가 난 것 같은데..	13			
13	츠네모리 유우지1	Default	이 곳을 좀 둘러봐야겠어	14	Before	유우지가 신사로 들어간다.	
14	츠네모리 유우지1	Default	우물도 있네.. 	15	Before	유우지가 우물 앞에 선다.	우물 앞에 서면
15	츠네모리 유우지1	Default	되게 깊다… 밑에가 보이지가 않아.. 괜히 무섭네.	16			우물 e로 누르기
16	츠네모리 유우지1	Horror	으아아악!!	17	Before	우물을 e키로 누르면 우물 안 일러스트와 함께 우물 사운드가 들린다. 우물 일러스트에서 갑작스럽게 무언가 튀어나온다.(거미가 화면을 가득채우는 일러스트 애니메이션) + 뒷걸음질 치기	일러스트 애니메이션 이후
17	츠네모리 유우지1	Perplexity	아이고… 거미가 갑자기 튀어나와 놀랐네…	18		놀란 유우지가 뒷걸음질 치며 특이한 돌 옆에 넘어진다.	
18	츠네모리 유우지1	Default	?!.. 이건 뭐지.. 특이하게 생긴 돌이네..	19			돌을 e로 누르기
19	츠네모리 유우지1	Default	…..… (뭔가 멍해지는 느낌이다.)	20	Before	돌 일러스트 출력	돌 일러스트 이후
20	코즈키 칸나	Default	유우지! 거기서 뭐해!	21			
21	츠네모리 유우지1	Perplexity	?! 칸나 누나?.. 켄타?	22	Before	 칸나와 켄타가 유우지를 향해 다가오고 유우지와 가까워지면 유우지 느낌표 애니메이션	느낌표 애니메이션 이후
22	코즈키 칸나	Perplexity	하하… 켄타가 무섭다고 유우지가 가자마자 돌아와 버렸지 말이야..	23			
23	코즈키 켄타	Angry	무슨 소리야! 무서운게 아니라 집에서 숨바꼭질을 하고 싶어져서 그래!!!	24			
24	츠네모리 유우지1	Perplexity	… 켄타 너가 여기서 나한테 이상한 소리를 내지 않았어?	25			
25	코즈키 칸나	Perplexity	??? 켄타는 유우지랑 다른 방향에 있었는데...	26			
26	코즈키 켄타	Default	맞아 나는 반대로 갔다고!!	27			
27	츠네모리 유우지1	Perplexity	........ 그래? 내가 잘못 들은 건가?	28			
28	코즈키 칸나	Default	... 그것보다 우리 집 근처에 이런 곳이 있었구나? 되게 으스스하네.	29			
29	코즈키 켄타	Smile	빨리 돌아가서 같이 숨바꼭질이나 하자!!!	30			
30	코즈키 칸나	Default	겁쟁이..	31			
31	코즈키 켄타	Angry	빨리 숨바꼭질을 하고 싶은거야!!!!!	32			
32	코즈키 켄타	Smile	늦게 오는 사람이 술래야!!!	33		.	
33	츠네모리 유우지1	Perplexity	… 에효…	34	Before	켄타가 먼저 신사에서 뛰쳐나간다.	켄타가 뛰쳐나간 후
34	코즈키 칸나	Smile	그렇다는데? 유우지!!	35			
35	츠네모리 유우지1	Perplexity	아?! 치사하게 같이 가!	-1	Both	칸나가 먼저 뛰쳐나간다. 유우지도 칸나가 뛰쳐나가고 3초 뒤 뛰쳐나간다. / 카메라는 신사에 고정된 채로 있다. 그리고 유우지가 카메라 시점에서 사라진 후 2초후 아까 들렸던 괴물 소리가 다시 들린다.	
