ID	Character	Sprite 	Dialogue	Next Index	Transtion Type	Transition Description	Trigger
0	츠네모리 유우지1	Default	다섯, 넷, 셋, 둘, 하나.	1	Before	챕터 아이캐치가 나온다. 카메라가 저택 외부를 보여주고 검정색 화면이 되어 있다. 	검정색 화면에서 e키를 누른다.
1	츠네모리 유우지1	Default	다 숨었지? 찾는다~!!	2			
2	츠네모리 유우지1	Default	하… 켄타는 숨바꼭질을 너무 좋아한다니까..	3	Before	검정색 화면에서 카메라가 밝아지고 유우지는 저택 내부 거실에 서 있다.	화면이 밝아진 후
3	코즈키 칸나	Smile	유우지!! 꾀부리지 말고, 빨리 찾아라!!!! 네가 늦어서 술래인거잖아!	4			
4	츠네모리 유우지1	Perplexity	(칸나 누나는 이럴 때 보면 정말 귀신 같다니까) 알았다고!!	5			
5	츠네모리 유우지1	Default	서재 쪽에서 소리가 난 것 같은데 한 번 가볼까..	-1			
6	츠네모리 유우지1	Perplexity	치사하게 문을 잠그는게 어딨어!!	7	Before	플레이어가 서재 앞에서 가서 방문을 열기 위해 e 키를 누르면 문이 잠겨 있는 소리가 난다.	서재 앞에서 e키를 누른다.
7	코즈키 칸나	Smile	여기는 유우지 집이니까 유우지가 유리하잖아~	8			
8	츠네모리 유우지1	Perplexity	애초에 우리 집이나 누나네 집이나 집 구조는 똑같거든?	9			
9	츠네모리 유우지1	Perplexity	유리하고 불리한게 어딨어!!	10			
10	코즈키 칸나	Default	.... 우리 집과 유우지 집이 원래 하나의 집이었다는 거 알아? 	11			
11	츠네모리 유우지1	Perplexity	?! 그래? 몰랐어.	12			
12	코즈키 칸나	Default	… 이 집은 옛날에 선교사들이 살던 집이었다고 해	13			
13	츠네모리 유우지1	Default	헤에… 그런데 왜 하나의 집이 나눠진거지?	14			
14	코즈키 칸나	Default	선교사들이 이 지역의 부모 잃은 아이들을 위해 저택을 나눴다고 해.	15			
15	츠네모리 유우지1	Default	.. 그래? 나는 처음 들었어 학교에서도 들어본 적 없는 내용인데?	16			
16	코즈키 칸나	Default	유우지가 이사 온 지 얼마 안 돼서 그렇지 이 동네 사람들은 다 알아..	17			
17	츠네모리 유우지1	Default	…. 신사에 대해서 아는 것도 있어?	18			
18	코즈키 칸나	Default	아 아까 거기 말하는 거구나.. 글쎄 나도 거긴 처음 봤어. 애초에 신사가 있는지도 몰랐거든..	19			
19	츠네모리 유우지1	Default	그렇구나..	20			
20	코즈키 칸나	Default	… 무슨 일이 있었어?? 아까도 표정이 좀 이상하던데..	21			
21	츠네모리 유우지1	Default	아무것도 아니야... 그런데 누나. 문이나 좀 열지 그래?  	22			
22	코즈키 칸나	Perplexity	하하.. 켄타부터 찾고 오지 그래?	23			
23	츠네모리 유우지1	Smile	켄타는 딱 봐도 2층에 있겠지.. 딱 기다려! 열쇠 가지고 온다!!	-1			
24	츠네모리 유우지1	Default	... 그것보다 분명 칸나 누나가 여기에 있어야 하는데...	25		플레이어가 창고에서 열쇠를 찾고, 서재에 다시 돌아와 문을 열고 서재 안에 들어간다. 그리고 책상 위에 있는 메모를 e키로 누른다.	메모 독백 상호작용 이후
25	코즈키 칸나	Smile	으아아악악!!	26	Before		
26	츠네모리 유우지1	Perplexity	…. ?!?!	27		칸나가 책상 밑에서 튀어 나온다. 동시에 유우지에게 느낌표 애니메이션이 나온다. 칸나는 책상 앞에 서 있다.	애니메이션들 이후
27	코즈키 칸나	Smile	나를 찾아내다니 대단하군!! 역시 유우지야!	28			
28	츠네모리 유우지1	Perplexity	아니.. 누나가 스스로 나오ㄴ	29			
29	코즈키 칸나	Smile	나는 거실로 갈테니 켄타나 찾아서 오셔!!	30			
30	츠네모리 유우지1	Perplexity	참 자기 멋대로라니까..	31	Before	칸나가 서재를 나간다.	칸나가 서재를 나간 후 
31	츠네모리 유우지1	Default	에휴… 켄타나 찾아 볼까..?	-1			
32	코즈키 칸나	Default	힌트 좀 줄까? 유우지?	33		플레이어가 서재에서 거실로 나간다. 	서재에서 나간 후
33	츠네모리 유우지1	Default	바보 찾는거에 무슨 힌트까지.. 정 주고 싶다면 주던지..	34	Before	유우지가 거실 앞에 서 있는 칸나 앞으로 걸어 간다.	칸나 앞에 선 후
34	코즈키 칸나	Default	등잔 밑이 어둡다...	35			
35	코즈키 칸나	Smile	가까이서 보는 것보다는 살짝 멀리서 보는 것이 무언가를 찾을 때 도움이 된다는 뜻이야!	36			
36	츠네모리 유우지1	Perplexity	.. 힌트치고는 거창한데??	37			
37	코즈키 칸나	Smile	유우지는 생각이 많아 정작 중요한 것을 못 본단 말이지~	38			
38	코즈키 칸나	Default	..... 유우지 사실은..	39			
39	츠네모리 유우지1	Default	??	40	Before		
40	코즈키 켄타	Angry	유우지!!! 날 못 찾겠으면 항복하라고?!	41		카메라가 흔들리고 유우지 느낌표 애니메이션이 나온다.	
41	츠네모리 유우지1	Perplexity	?!! 참을성도 없네.. 그것보다 누나 무슨 말 하려하지 않았어?	42			
42	코즈키 칸나	Perplexity	으응 아무것도 아니야	43			
43	코즈키 칸나	Default	그것보다 요새 켄타가 엄청 잘 숨어.. 우리 집에서 할 때 엄마랑 아빠가 계속 못 찾는다니까?	44			
44	츠네모리 유우지1	Default	나는 찾을 수 있어.!!	45			
45	코즈키 칸나	Smile	그래?.. 앞으로도 켄타를 꼭 찾아 줘.	46			
46	츠네모리 유우지1	Perplexity	??? 누나도 찾을 건데?	47			
47	츠네모리 유우지1	Smile	기다리고 있어! 2층 다녀올께!	-1			
48	코즈키 칸나	Default	....	-1	Before	플레이어가 2층에 올란간다. 카메라는 바로 2층으로 따라가지 않고 컷신으로 칸나를 보여준다.	
49	츠네모리 유우지1	Default	찾았다고, 켄타!!	50	Before	켄타가 숨어있는 작업실에 간 플레이어는 흔들리고 있는 장롱을 발견한다. 플레이어는 e키를 눌러 장롱과 상호작용을 한다. 장롱 안에서 켄타는 나온다.	켄타가 장롱에서 나온 후
50	코즈키 켄타	Default	… 역시 군인의 아들은 다른가??! 	51			
51	코즈키 켄타	Default	나를 찾아내다니 대단하군!! 역시 유우지야!	52			
52	츠네모리 유우지1	Perplexity	남매 아니랄까봐 똑같이 말하네.. 그렇게 치면 넌 의사의 아들인데 왜 바보인거지?	53			
53	츠네모리 유우지1	Perplexity	고작 방 안 장롱에 숨어놓고 내가 못 찾을 줄 알았어??	54			
54	코즈키 켄타	Smile	우리 집에서는 절대 못 찾던걸?	55			
55	츠네모리 유우지1	Perplexity	그니까 너네 집이랑 우리 집이 같은 구조인데..	56			
56	코즈키 켄타	Smile	구조가 뭔데?!! 어려움 말 하지마!	57			
57	츠네모리 유우지1	Perplexity	… 내려가자	-1	After	작업실을 보여주던 카메라가 Fade Out 하여 어두워진다.	
58	코즈키 칸나	Perplexity	확실히 잘 찾네.. 역시 유우지야..	59	Before	카메라가 Fade In 하여 밝아지고 유우지, 켄타, 칸나는 거실에 서 있다. 이때 유우지는 현관 쪽을 보고 있고 켄타와 칸나는 유우지를 보고 있다.	밝아진 후
59	코즈키 켄타	Angry	다시 하자! 이제 우리 집에서 하는거야!!	60			
60	츠네모리 신야	Smile	미안하지만, 오늘은 그만해야 할 것 같네?	61	Before	츠네모리 신야가 아이들이 있는 곳으로 걸어온다. 켄타와 칸나가 유우지를 바라보던 것에서 뒤를 돌아 유우지와 같은 시선으로 츠네모리 신야를 바라본다.	켄타와 칸나가 츠네모리 신야를 보기 위해 뒤를 돈 후
61	츠네모리 유우지1	Smile	아빠!!!	62			
62	코즈키 칸나	Smile	안녕하세요. 아저씨	63			
63	코즈키 켄타	Default	충성!!!!	64			
64	츠네모리 신야	Perplexity	하하.. 칸나랑 켄타 잘 지냈니?	65			
65	코즈키 칸나	Smile	저희는 늘 잘 지내고 있죠.	66			
