ID	Character	Sprite 	Dialogue	Next Index	Transtion Type	Transition Description	Trigger
0	여학생 A	Default	너 그 소문 들었어?	1		챕터 아이캐치 이후 교실에 유우지가 엎드려 있고, 엑스트라 학생들이 유우지 근처에 서서 떠들고 있다.	챕터 1 아이캐치 끝나면 바로 시작
1	남학생 B	Default	무슨 소문??	2			
2	여학생 A	Default	… 그 저주받은 집에 귀신이 나온대	3			
3	남학생 C	Default	아 그 코즈키가 일가족 사건의 집?	4			
4	츠네모리 유우지	Default	(또 그때 꿈을 꾼이네) …....	5			
5	여학생 A	Default	그래! 바로 그 집에 원한을 품은 귀신이 나타난댔어!	6			
6	남학생 B	Default	바보아냐? 귀신이 어딨어.	7			
7	여학생 A	Default	아니 진짜라니까? 저택 창문에 하얀 물체가 움직이고 있었대!! 그리고 그 집에 괴상한 소리도 함께 난다고 해!	8			
8	츠네모리 유우지	Default	(… 괴상한 소리?... 아직도 나는 건가..)?!	9			
9	스즈키 토우마	Default	너네 재밌는 소리를 하고 있네?	10	Before	교실문이 열리는 소리와 함께 토우마와 토우지 다나카 순으로 교실 뒷문으로 들어온다.	교실에 들어온 후
10	남학생 C	Default	?! 아… 토우마…	11			
11	후케 토우지	Smile	그러니까 너네가 한 말을 요약하면 조센징이 죽인 가족이 귀신이 되어 그 집에 나타난다는거지?	12			
12	후지 다나카	Smile	하하 그깟 조센징한테 죽다니 그 가족도 어지간히 한심하구만!! 나 였으면 그깟 조센징은 박살을 냈을텐데!!	13			
13	후케 토우지	Smile	대신에 그 조센징 살인마의 아들을 박살내는 건 어때?	14			
14	후지 다나카	Default	좋은 생각이야!	15	After	유우지에게 다나카가 쓰레기를 던진다.	
15	츠네모리 유우지	Default	(상대할 가치가 없다)…..	16	Before	엎드려 있던 유우지가 고개를 들고 앉는다.	유우지가 고개를 든 후
16	후케 토우지	Default	역시 야구부 에이스! 스트라이크네!!.. 근데 반응이 재미가 없네	17			
17	후지 다나카	Default	지도 아는거지 지 애비가 살인마라는 것을	18			
18	츠네모리 유우지	Default	…......	19			
19	후지 다나카	Smile	니네 애비가 죽인 얘들이 너랑 친구였다매? 심지어 남자아이는 시체도 못 찾았다는대. 넌 그 시체가 어딨는지 알려나?	20			
20	후케 토우지	Smile	니네 애비도 아직도 못 찾았다는데 사실 너가 숨겨주고 있는거 아니야?	21			
21	츠네모리 유우지	Serious	우리 아버지는 살인마가 아니야	22			
22	후지 다나카	Default	하 또 그 소리구만. 그렇게 주장하고 싶으면 니네 애비는 왜 숨어 있는거지?	23			
23	스즈키 토우마	Default	유우지~ 너 진짜로 그렇게 생각하는 거야?	24	Before	토우마가 유우지 앞으로 이동한다.	토우마가 유우지 앞에 이동한 후
24	츠네모리 유우지	Default	(스즈키 토우마… 껄끄러운 녀석이다.) 친한 척 하지마.	25			
25	후케 토우지	Default	토우마 덕분에 겨우 연명하는 주제에 상당히 건방지네?	26			
26	스즈키 토우마	Smile	토우지. 그런 말 하지마. 우리 집안에서 유우지를 도와주고 있긴 하지만, 뭐 그건 그냥 불쌍한 사람을 위한 봉사 같은 거니까~	27			
27	후지 다나카	Smile	역시 시장님의 손자이자 이사장님의 아들은 그릇이 크구만!! 하하	28			
28	후케 토우지	Smile	토우지네는 대대로 다이세츠의 영주 집안이니까.. 노블리스 오블리주 같은 거네!	29			
29	츠네모리 유우지	Default	…........	30			
